asset_id,parent_asset_id,asset_type,asset_name,operational_status,voltage_kv,rating_kva,manufacturer,model,serial_number,commissioned_date
TX-003-2,SS-003,TRANSFORMER,Cobalt Transformer T2,IN_SERVICE,22,2000,Meridian Power Systems,TXR-2000,TX00302A,12/4/13
TX-003-3,SS-003,TRANSFORMER,Cobalt Transformer T3,IN_SERVICE,22,1000,Arcwell Industries,TXR-1000,TX00303A,12/5/14
LVB-003-1,SS-003,LV_BOARD,Cobalt Main LV Board 1,IN_SERVICE,0.4,,Meridian Power Systems,LVB-400,LV00301B,20/6/13
SWB-003-1,SS-003,SWITCHBOARD,Cobalt 22kV Switchboard A,IN_SERVICE,22,,Arcwell Industries,SWB-22,SW00301C,10/9/12
PNL-003-1-01,SWB-003-1,SWITCHBOARD_PANEL,Cobalt Panel A1,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0030101,11/9/12
PNL-003-1-02,SWB-003-1,SWITCHBOARD_PANEL,Cobalt Panel A2,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0030102,12/9/12
PNL-003-1-03,SWB-003-1,SWITCHBOARD_PANEL,Cobalt Panel A3,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0030103,13/9/12
PNL-003-1-04,SWB-003-1,SWITCHBOARD_PANEL,Cobalt Panel A4,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0030104,14/9/12
PNL-003-1-05,SWB-003-1,SWITCHBOARD_PANEL,Cobalt Panel A5,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0030105,15/9/12
SWB-003-2,SS-003,SWITCHBOARD,Cobalt 22kV Switchboard B,IN_SERVICE,22,,Helios Gridworks,SWB-22,SW00302C,10/9/12
PNL-003-2-01,SWB-003-2,SWITCHBOARD_PANEL,Cobalt Panel B1,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0030201,11/9/12
PNL-003-2-02,SWB-003-2,SWITCHBOARD_PANEL,Cobalt Panel B2,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0030202,12/9/12
PNL-003-2-03,SWB-003-2,SWITCHBOARD_PANEL,Cobalt Panel B3,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0030203,13/9/12
PNL-003-2-04,SWB-003-2,SWITCHBOARD_PANEL,Cobalt Panel B4,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0030204,14/9/12
PNL-003-2-05,SWB-003-2,SWITCHBOARD_PANEL,Cobalt Panel B5,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0030205,15/9/12
SS-004,,SUBSTATION,Driftwood Substation (East),IN_SERVICE,22,,,,SUB-7004,15/5/12
TX-004-1,SS-004,TRANSFORMER,Driftwood Transformer T1,IN_SERVICE,22,2000,Meridian Power Systems,TXR-2000,TX00401A,12/3/13
TX-004-2,SS-004,TRANSFORMER,Driftwood Transformer T2,IN_SERVICE,22,1000,Arcwell Industries,TXR-1000,TX00402A,12/4/14
LVB-004-1,SS-004,LV_BOARD,Driftwood Main LV Board 1,IN_SERVICE,0.4,,Arcwell Industries,LVB-400,LV00401B,20/6/14
LVB-004-2,SS-004,LV_BOARD,Driftwood Main LV Board 2,IN_SERVICE,0.4,,Helios Gridworks,LVB-400,LV00402B,20/6/14
SWB-004-1,SS-004,SWITCHBOARD,Driftwood 22kV Switchboard A,IN_SERVICE,22,,Helios Gridworks,SWB-22,SW00401C,10/9/13
PNL-004-1-01,SWB-004-1,SWITCHBOARD_PANEL,Driftwood Panel A1,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0040101,11/9/13
PNL-004-1-02,SWB-004-1,SWITCHBOARD_PANEL,Driftwood Panel A2,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0040102,12/9/13
PNL-004-1-03,SWB-004-1,SWITCHBOARD_PANEL,Driftwood Panel A3,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0040103,13/9/13
PNL-004-1-04,SWB-004-1,SWITCHBOARD_PANEL,Driftwood Panel A4,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0040104,14/9/13
PNL-004-1-05,SWB-004-1,SWITCHBOARD_PANEL,Driftwood Panel A5,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0040105,15/9/13
SWB-004-2,SS-004,SWITCHBOARD,Driftwood 22kV Switchboard B,MAINTENANCE,22,,Northstar Electrical,SWB-22,SW00402C,10/9/13
PNL-004-2-01,SWB-004-2,SWITCHBOARD_PANEL,Driftwood Panel B1,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0040201,11/9/13
PNL-004-2-02,SWB-004-2,SWITCHBOARD_PANEL,Driftwood Panel B2,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0040202,12/9/13
PNL-004-2-03,SWB-004-2,SWITCHBOARD_PANEL,Driftwood Panel B3,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0040203,13/9/13
PNL-004-2-04,SWB-004-2,SWITCHBOARD_PANEL,Driftwood Panel B4,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0040204,14/9/13
PNL-004-2-05,SWB-004-2,SWITCHBOARD_PANEL,Driftwood Panel B5,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0040205,15/9/13
SS-005,,SUBSTATION,Ember Substation (Central),IN_SERVICE,22,,,,SUB-7005,15/6/13
TX-005-1,SS-005,TRANSFORMER,Ember Transformer T1,IN_SERVICE,22,1000,Arcwell Industries,TXR-1000,TX00501A,12/3/14
TX-005-2,SS-005,TRANSFORMER,Ember Transformer T2,IN_SERVICE,22,1500,Helios Gridworks,TXR-1500,TX00502A,12/4/15
LVB-005-1,SS-005,LV_BOARD,Ember Main LV Board 1,IN_SERVICE,0.4,,Helios Gridworks,LVB-400,LV00501B,20/6/15
SWB-005-1,SS-005,SWITCHBOARD,Ember 22kV Switchboard A,MAINTENANCE,22,,Northstar Electrical,SWB-22,SW00501C,10/9/14
PNL-005-1-01,SWB-005-1,SWITCHBOARD_PANEL,Ember Panel A1,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0050101,11/9/14
PNL-005-1-02,SWB-005-1,SWITCHBOARD_PANEL,Ember Panel A2,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0050102,12/9/14
PNL-005-1-03,SWB-005-1,SWITCHBOARD_PANEL,Ember Panel A3,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0050103,13/9/14
PNL-005-1-04,SWB-005-1,SWITCHBOARD_PANEL,Ember Panel A4,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0050104,14/9/14
PNL-005-1-05,SWB-005-1,SWITCHBOARD_PANEL,Ember Panel A5,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0050105,15/9/14
SWB-005-2,SS-005,SWITCHBOARD,Ember 22kV Switchboard B,OUT_OF_SERVICE,22,,Meridian Power Systems,SWB-22,SW00502C,10/9/14
PNL-005-2-01,SWB-005-2,SWITCHBOARD_PANEL,Ember Panel B1,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0050201,11/9/14
PNL-005-2-02,SWB-005-2,SWITCHBOARD_PANEL,Ember Panel B2,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0050202,12/9/14
PNL-005-2-03,SWB-005-2,SWITCHBOARD_PANEL,Ember Panel B3,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0050203,13/9/14
PNL-005-2-04,SWB-005-2,SWITCHBOARD_PANEL,Ember Panel B4,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0050204,14/9/14
PNL-005-2-05,SWB-005-2,SWITCHBOARD_PANEL,Ember Panel B5,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0050205,15/9/14
SS-T01,,SUBSTATION,Trial Alpha Substation,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SS-T01,15/1/20
PNL-T01,SWB-T01,SWITCHBOARD_PANEL,Panel P,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-PNL-T01,15/1/20
SWB-T01,SS-T01,SWITCHBOARD,Trial Switchboard A,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SWB-T01,15/1/20
TX-T01,SS-T01,TRANSFORMER,Trial Transformer,IN_SERVICE,22,1000,Test Gridworks,TEST-01,SER-TX-T01,15/1/20
LVB-T01,SS-T01,LV_BOARD,Trial LV Board,IN_SERVICE,0.4,,Test Gridworks,TEST-01,SER-LVB-T01,15/1/20
TX-D1,SS-T01,TRANSFORMER,DTransformer One,IN_SERVICE,22,1500,Test Gridworks,TEST-01,SER-TX-DUP,15/1/20
TX-D2,SS-T01,TRANSFORMER,Dransformer Two,IN_SERVICE,22,1500,Test Gridworks,TEST-01,SER-TX-DUP,15/1/20
PNL-M,SWB-404,SWITCHBOARD_PANEL,Single Panel,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-PNL-MISSING,15/1/20
SWB-S,SWB-SELF,SWITCHBOARD,Ref Board,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SWB-SELF,15/1/20
SWB-CY-A,SWB-CY-B,SWITCHBOARD,Dual Node A,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SWB-CY-A,15/1/20
SWB-CY-B,SWB-CY-A,SWITCHBOARD,Dual Node  B,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SWB-CY-B,15/1/20
SWB-CY-C,PNL-CY-C,SWITCHBOARD,Long Cycle Board,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-SWB-CY-C,15/1/20
PNL-CY-C,PNL-CY-D,SWITCHBOARD_PANEL,Long Cycle Panel C,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-PNL-CY-C,15/1/20
PNL-CY-D,SWB-CY-C,SWITCHBOARD_PANEL,Long Cycle Panel D,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-PNL-CY-D,15/1/20
PNL-BP,SS-T01,SWITCHBOARD_PANEL,Panel Substation,IN_SERVICE,22,,Test Gridworks,TEST-01,SER-PNL-BAD-PARENT,15/1/20
TX-BP,SWB-T01,TRANSFORMER,Transformer Switchboard,IN_SERVICE,22,1000,Test Gridworks,TEST-01,SER-TX-BAD-PARENT,15/1/20
SS-006,,SUBSTATION,Fountain Substation (Central),IN_SERVICE,22,,,,SUB-7006,15/7/14
TX-006-1,SS-006,TRANSFORMER,Fountain Transformer T1,IN_SERVICE,22,1500,Helios Gridworks,TXR-1500,TX00601A,12/3/15
TX-006-2,SS-006,TRANSFORMER,Fountain Transformer T2,MAINTENANCE,22,2000,Northstar Electrical,TXR-2000,TX00602A,12/4/16
LVB-006-1,SS-006,LV_BOARD,Fountain Main LV Board 1,MAINTENANCE,0.4,,Northstar Electrical,LVB-400,LV00601B,20/6/16
SWB-006-1,SS-006,SWITCHBOARD,Fountain 22kV Switchboard A,OUT_OF_SERVICE,22,,Meridian Power Systems,SWB-22,SW00601C,10/9/15
PNL-006-1-01,SWB-006-1,SWITCHBOARD_PANEL,Fountain Panel A1,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0060101,11/9/15
PNL-006-1-02,SWB-006-1,SWITCHBOARD_PANEL,Fountain Panel A2,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0060102,12/9/15
PNL-006-1-03,SWB-006-1,SWITCHBOARD_PANEL,Fountain Panel A3,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0060103,13/9/15
PNL-006-1-04,SWB-006-1,SWITCHBOARD_PANEL,Fountain Panel A4,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0060104,14/9/15
PNL-006-1-05,SWB-006-1,SWITCHBOARD_PANEL,Fountain Panel A5,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0060105,15/9/15
SWB-006-2,SS-006,SWITCHBOARD,Fountain 22kV Switchboard B,IN_SERVICE,22,,Arcwell Industries,SWB-22,SW00602C,10/9/15
PNL-006-2-01,SWB-006-2,SWITCHBOARD_PANEL,Fountain Panel B1,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0060201,11/9/15
PNL-006-2-02,SWB-006-2,SWITCHBOARD_PANEL,Fountain Panel B2,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0060202,12/9/15
PNL-006-2-03,SWB-006-2,SWITCHBOARD_PANEL,Fountain Panel B3,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0060203,13/9/15
PNL-006-2-04,SWB-006-2,SWITCHBOARD_PANEL,Fountain Panel B4,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0060204,14/9/15
PNL-006-2-05,SWB-006-2,SWITCHBOARD_PANEL,Fountain Panel B5,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0060205,15/9/15
SS-007,,SUBSTATION,Garnet Substation (West),IN_SERVICE,22,,,,SUB-7007,15/8/15
TX-007-1,SS-007,TRANSFORMER,Garnet Transformer T1,MAINTENANCE,22,2000,Northstar Electrical,TXR-2000,TX00701A,12/3/16
TX-007-2,SS-007,TRANSFORMER,Garnet Transformer T2,OUT_OF_SERVICE,22,1000,Meridian Power Systems,TXR-1000,TX00702A,12/4/17
TX-007-3,SS-007,TRANSFORMER,Garnet Transformer T3,IN_SERVICE,22,1500,Arcwell Industries,TXR-1500,TX00703A,12/5/18
LVB-007-1,SS-007,LV_BOARD,Garnet Main LV Board 1,OUT_OF_SERVICE,0.4,,Meridian Power Systems,LVB-400,LV00701B,20/6/17
SWB-007-1,SS-007,SWITCHBOARD,Garnet 22kV Switchboard A,IN_SERVICE,22,,Arcwell Industries,SWB-22,SW00701C,10/9/16
PNL-007-1-01,SWB-007-1,SWITCHBOARD_PANEL,Garnet Panel A1,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0070101,11/9/16
PNL-007-1-02,SWB-007-1,SWITCHBOARD_PANEL,Garnet Panel A2,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0070102,12/9/16
PNL-007-1-03,SWB-007-1,SWITCHBOARD_PANEL,Garnet Panel A3,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0070103,13/9/16
PNL-007-1-04,SWB-007-1,SWITCHBOARD_PANEL,Garnet Panel A4,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0070104,14/9/16
PNL-007-1-05,SWB-007-1,SWITCHBOARD_PANEL,Garnet Panel A5,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0070105,15/9/16
SWB-007-2,SS-007,SWITCHBOARD,Garnet 22kV Switchboard B,IN_SERVICE,22,,Helios Gridworks,SWB-22,SW00702C,10/9/16
PNL-007-2-01,SWB-007-2,SWITCHBOARD_PANEL,Garnet Panel B1,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0070201,11/9/16
PNL-007-2-02,SWB-007-2,SWITCHBOARD_PANEL,Garnet Panel B2,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0070202,12/9/16
PNL-007-2-03,SWB-007-2,SWITCHBOARD_PANEL,Garnet Panel B3,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0070203,13/9/16
PNL-007-2-04,SWB-007-2,SWITCHBOARD_PANEL,Garnet Panel B4,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0070204,14/9/16
PNL-007-2-05,SWB-007-2,SWITCHBOARD_PANEL,Garnet Panel B5,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0070205,15/9/16
SS-008,,SUBSTATION,Harbour Substation (West),IN_SERVICE,22,,,,SUB-7008,15/9/16
TX-008-1,SS-008,TRANSFORMER,Harbour Transformer T1,OUT_OF_SERVICE,22,1000,Meridian Power Systems,TXR-1000,TX00801A,12/3/17
TX-008-2,SS-008,TRANSFORMER,Harbour Transformer T2,IN_SERVICE,22,1500,Arcwell Industries,TXR-1500,TX00802A,12/4/18
LVB-008-1,SS-008,LV_BOARD,Harbour Main LV Board 1,IN_SERVICE,0.4,,Arcwell Industries,LVB-400,LV00801B,20/6/18
LVB-008-2,SS-008,LV_BOARD,Harbour Main LV Board 2,IN_SERVICE,0.4,,Helios Gridworks,LVB-400,LV00802B,20/6/18
SWB-008-1,SS-008,SWITCHBOARD,Harbour 22kV Switchboard A,IN_SERVICE,22,,Helios Gridworks,SWB-22,SW00801C,10/9/17
PNL-008-1-01,SWB-008-1,SWITCHBOARD_PANEL,Harbour Panel A1,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0080101,11/9/17
PNL-008-1-02,SWB-008-1,SWITCHBOARD_PANEL,Harbour Panel A2,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0080102,12/9/17
PNL-008-1-03,SWB-008-1,SWITCHBOARD_PANEL,Harbour Panel A3,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0080103,13/9/17
PNL-008-1-04,SWB-008-1,SWITCHBOARD_PANEL,Harbour Panel A4,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0080104,14/9/17
PNL-008-1-05,SWB-008-1,SWITCHBOARD_PANEL,Harbour Panel A5,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0080105,15/9/17
SWB-008-2,SS-008,SWITCHBOARD,Harbour 22kV Switchboard B,IN_SERVICE,22,,Northstar Electrical,SWB-22,SW00802C,10/9/17
PNL-008-2-01,SWB-008-2,SWITCHBOARD_PANEL,Harbour Panel B1,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0080201,11/9/17
PNL-008-2-02,SWB-008-2,SWITCHBOARD_PANEL,Harbour Panel B2,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0080202,12/9/17
PNL-008-2-03,SWB-008-2,SWITCHBOARD_PANEL,Harbour Panel B3,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0080203,13/9/17
PNL-008-2-04,SWB-008-2,SWITCHBOARD_PANEL,Harbour Panel B4,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0080204,14/9/17
PNL-008-2-05,SWB-008-2,SWITCHBOARD_PANEL,Harbour Panel B5,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0080205,15/9/17
SS-009,,SUBSTATION,Ion Substation (South),IN_SERVICE,22,,,,SUB-7009,15/1/08
TX-009-1,SS-009,TRANSFORMER,Ion Transformer T1,IN_SERVICE,22,1500,Arcwell Industries,TXR-1500,TX00901A,12/3/09
TX-009-2,SS-009,TRANSFORMER,Ion Transformer T2,IN_SERVICE,22,2000,Helios Gridworks,TXR-2000,TX00902A,12/4/10
LVB-009-1,SS-009,LV_BOARD,Ion Main LV Board 1,IN_SERVICE,0.4,,Helios Gridworks,LVB-400,LV00901B,20/6/10
SWB-009-1,SS-009,SWITCHBOARD,Ion 22kV Switchboard A,IN_SERVICE,22,,Northstar Electrical,SWB-22,SW00901C,10/9/09
PNL-009-1-01,SWB-009-1,SWITCHBOARD_PANEL,Ion Panel A1,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0090101,11/9/09
PNL-009-1-02,SWB-009-1,SWITCHBOARD_PANEL,Ion Panel A2,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0090102,12/9/09
PNL-009-1-03,SWB-009-1,SWITCHBOARD_PANEL,Ion Panel A3,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0090103,13/9/09
PNL-009-1-04,SWB-009-1,SWITCHBOARD_PANEL,Ion Panel A4,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0090104,14/9/09
PNL-009-1-05,SWB-009-1,SWITCHBOARD_PANEL,Ion Panel A5,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0090105,15/9/09
SWB-009-2,SS-009,SWITCHBOARD,Ion 22kV Switchboard B,MAINTENANCE,22,,Meridian Power Systems,SWB-22,SW00902C,10/9/09
PNL-009-2-01,SWB-009-2,SWITCHBOARD_PANEL,Ion Panel B1,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0090201,11/9/09
PNL-009-2-02,SWB-009-2,SWITCHBOARD_PANEL,Ion Panel B2,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0090202,12/9/09
PNL-009-2-03,SWB-009-2,SWITCHBOARD_PANEL,Ion Panel B3,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0090203,13/9/09
PNL-009-2-04,SWB-009-2,SWITCHBOARD_PANEL,Ion Panel B4,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0090204,14/9/09
PNL-009-2-05,SWB-009-2,SWITCHBOARD_PANEL,Ion Panel B5,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0090205,15/9/09
SS-010,,SUBSTATION,Juniper Substation (South),IN_SERVICE,22,,,,SUB-7010,15/2/09
TX-010-1,SS-010,TRANSFORMER,Juniper Transformer T1,IN_SERVICE,22,2000,Helios Gridworks,TXR-2000,TX01001A,12/3/10
TX-010-2,SS-010,TRANSFORMER,Juniper Transformer T2,IN_SERVICE,22,1000,Northstar Electrical,TXR-1000,TX01002A,12/4/11
LVB-010-1,SS-010,LV_BOARD,Juniper Main LV Board 1,IN_SERVICE,0.4,,Northstar Electrical,LVB-400,LV01001B,20/6/11
SWB-010-1,SS-010,SWITCHBOARD,Juniper 22kV Switchboard A,MAINTENANCE,22,,Meridian Power Systems,SWB-22,SW01001C,10/9/10
PNL-010-1-01,SWB-010-1,SWITCHBOARD_PANEL,Juniper Panel A1,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0100101,11/9/10
PNL-010-1-02,SWB-010-1,SWITCHBOARD_PANEL,Juniper Panel A2,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0100102,12/9/10
PNL-010-1-03,SWB-010-1,SWITCHBOARD_PANEL,Juniper Panel A3,OUT_OF_SERVICE,22,,Arcwell Industries,PNL-22,PN0100103,13/9/10
PNL-010-1-04,SWB-010-1,SWITCHBOARD_PANEL,Juniper Panel A4,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0100104,14/9/10
PNL-010-1-05,SWB-010-1,SWITCHBOARD_PANEL,Juniper Panel A5,IN_SERVICE,22,,Northstar Electrical,PNL-22,PN0100105,15/9/10
SWB-010-2,SS-010,SWITCHBOARD,Juniper 22kV Switchboard B,OUT_OF_SERVICE,22,,Arcwell Industries,SWB-22,SW01002C,10/9/10
PNL-010-2-01,SWB-010-2,SWITCHBOARD_PANEL,Juniper Panel B1,MAINTENANCE,22,,Meridian Power Systems,PNL-22,PN0100201,11/9/10
